image_link, artist_name, title, age, link
https://media.tate.org.uk/aztate-prd-ew-dg-wgtail-st1-ctr-data/images/.width-340_eaZn5Xn.jpg,William Blake,The Circle of the Lustful: Francesca da Rimini (‘The Whirlwind of Lovers’),1826–7  reprinted 1892,/art/artworks/blake-the-circle-of-the-lustful-francesca-da-rimini-the-whirlwind-of-lovers-a00005
https://media.tate.org.uk/aztate-prd-ew-dg-wgtail-st1-ctr-data/images/.width-340_Mz1pkzq.jpg,William Blake,Ciampolo the Barrator Tormented by the Devils,1826–7  reprinted 1892,/art/artworks/blake-ciampolo-the-barrator-tormented-by-the-devils-a00006
https://media.tate.org.uk/aztate-prd-ew-dg-wgtail-st1-ctr-data/images/.width-340_Fnfvz1Z.jpg,William Blake,The Six-Footed Serpent Attacking Agnolo Brunelleschi,1826–7  reprinted 1892,/art/artworks/blake-the-six-footed-serpent-attacking-agnolo-brunelleschi-a00008
https://media.tate.org.uk/aztate-prd-ew-dg-wgtail-st1-ctr-data/images/.width-340_JrhBkQk.jpg,William Blake,The Serpent Attacking Buoso Donati,1826–7  reprinted 1892,/art/artworks/blake-the-serpent-attacking-buoso-donati-a00009
https://media.tate.org.uk/aztate-prd-ew-dg-wgtail-st1-ctr-data/images/.width-340_pcMN8wU.jpg,William Blake,Job and his Family,1828  reprinted 1874,/art/artworks/blake-job-and-his-family-a00012
https://media.tate.org.uk/aztate-prd-ew-dg-wgtail-st1-ctr-data/images/.width-340_gMb33MM.jpg,William Blake,Satan Smiting Job with Sore Boils,1825  reprinted 1874,/art/artworks/blake-satan-smiting-job-with-sore-boils-a00017
https://media.tate.org.uk/aztate-prd-ew-dg-wgtail-st1-ctr-data/images/.width-340_L8kgrM9.jpg,William Blake,Behemoth and Leviathan,1825  reprinted 1874,/art/artworks/blake-behemoth-and-leviathan-a00026
https://media.tate.org.uk/aztate-prd-ew-dg-wgtail-st1-ctr-data/images/.width-340_zE38j8Q.jpg,Sir Edward Coley Burne-Jones  Bt,Study of a Woman’s Head,1870,/art/artworks/burne-jones-study-of-a-womans-head-a00057
https://media.tate.org.uk/aztate-prd-ew-dg-wgtail-st1-ctr-data/images/.width-340_GCrggSj.jpg,Sir Edward Coley Burne-Jones  Bt,Study of a Sleeping Woman’s Head  possibly for ‘The Rose Bower’ in the ‘Briar Rose’ Series,c.1871–3,/art/artworks/burne-jones-study-of-a-sleeping-womans-head-possibly-for-the-rose-bower-in-the-briar-rose-a00058
https://media.tate.org.uk/aztate-prd-ew-dg-wgtail-st1-ctr-data/images/.width-340_EN164qF.jpg,Sir Edward Coley Burne-Jones  Bt,Study of a Standing Woman for ‘The Passing of Venus’,1877,/art/artworks/burne-jones-study-of-a-standing-woman-for-the-passing-of-venus-a00061
https://media.tate.org.uk/aztate-prd-ew-dg-wgtail-st1-ctr-data/images/.width-340_Vf5zzfH.jpg,Sir Edward Coley Burne-Jones  Bt,Study of a Seated Woman for ‘The Passing of Venus’,c.1877,/art/artworks/burne-jones-study-of-a-seated-woman-for-the-passing-of-venus-a00062
https://media.tate.org.uk/aztate-prd-ew-dg-wgtail-st1-ctr-data/images/.width-340_QAGNDEd.jpg,Sir Edward Coley Burne-Jones  Bt,Kneeling Woman,date not known,/art/artworks/burne-jones-kneeling-woman-a00068
https://media.tate.org.uk/aztate-prd-ew-dg-wgtail-st1-ctr-data/images/.width-340_fsVZ1ly.jpg,Sir Edward Coley Burne-Jones  Bt,Stooping Woman,date not known,/art/artworks/burne-jones-stooping-woman-a00069
https://media.tate.org.uk/aztate-prd-ew-dg-wgtail-st1-ctr-data/images/.width-340_u4RxM27.jpg,Sir Edward Coley Burne-Jones  Bt,Composition Study for ‘The Merciful Knight’,c.1863,/art/artworks/burne-jones-composition-study-for-the-merciful-knight-a00085
https://media.tate.org.uk/aztate-prd-ew-dg-wgtail-st1-ctr-data/images/.width-340_BsydWGE.jpg,Sir Edward Coley Burne-Jones  Bt,Nude Study of the Knight for ‘The Merciful Knight’,c.1863,/art/artworks/burne-jones-nude-study-of-the-knight-for-the-merciful-knight-a00087
https://media.tate.org.uk/aztate-prd-ew-dg-wgtail-st1-ctr-data/images/.width-340_StAwTr9.jpg,Sir Edward Coley Burne-Jones  Bt,Nude Study of Knight for ‘The Merciful Knight’,c.1863,/art/artworks/burne-jones-nude-study-of-knight-for-the-merciful-knight-a00089
https://media.tate.org.uk/aztate-prd-ew-dg-wgtail-st1-ctr-data/images/.width-340_ULgojnB.jpg,Sir Edward Coley Burne-Jones  Bt,Sketch of Two Seated Figures for ?‘The Backgammon Players’,?c.1861,/art/artworks/burne-jones-sketch-of-two-seated-figures-for-the-backgammon-players-a00110
https://media.tate.org.uk/aztate-prd-ew-dg-wgtail-st1-ctr-data/images/.width-340_Nua3HLa.jpg,William Blake,Frontispiece: Thenot and Colinet,c.1821  printed 1830,/art/artworks/blake-frontispiece-thenot-and-colinet-a00111
https://media.tate.org.uk/aztate-prd-ew-dg-wgtail-st1-ctr-data/images/.width-340_H4odASK.jpg,Dante Gabriel Rossetti,Fanny Cornforth,1859,/art/artworks/rossetti-fanny-cornforth-a00845
https://media.tate.org.uk/aztate-prd-ew-dg-wgtail-st1-ctr-data/images/.width-340_zqmUVia.jpg,Joseph Mallord William Turner,Bridge and Cows  engraved by Charles Turner,1807,/art/artworks/turner-bridge-and-cows-engraved-by-charles-turner-a00914
